connector_version,consumed_property_count,conversion_success,diagnostics,duration_ms,error,mapping_counts,non_exact_mapping_without_notes,oracle_match,output_bytes,patterns,property_count,python_parse_success,scenario,source_agents,source_hash,source_modules,source_nodes,target,tier
0.3.0,14,True,[],44,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 6}",2,True,1448,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,crewai,simple
0.3.0,14,True,[],39,,"{""adapted"": 8, ""dropped"": 1, ""equivalent"": 1, ""exact"": 5}",4,True,1500,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,adk,simple
0.1.0,14,True,[],49,,"{""adapted"": 4, ""equivalent"": 5, ""exact"": 5, ""unmapped"": 1}",4,True,1472,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,langgraph,simple
0.1.0,14,True,[],41,,"{""adapted"": 6, ""equivalent"": 4, ""exact"": 4, ""unmapped"": 1}",6,True,850,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,openai-agents,simple
0.1.0,11,True,[],50,,"{""adapted"": 5, ""dropped"": 3, ""equivalent"": 3, ""exact"": 3, ""unmapped"": 1}",5,True,3027,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,microsoft-agent-framework,simple
0.1.0,11,True,[],45,,"{""adapted"": 5, ""dropped"": 3, ""equivalent"": 3, ""exact"": 3, ""unmapped"": 1}",5,True,2368,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,strands,simple
0.1.0,13,True,[],44,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4, ""unmapped"": 1}",5,True,837,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,pydantic-ai,simple
0.1.0,13,True,[],44,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4, ""unmapped"": 1}",5,True,1475,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,autogen,simple
0.1.0,13,True,[],51,,"{""adapted"": 4, ""dropped"": 1, ""equivalent"": 5, ""exact"": 4, ""unmapped"": 1}",4,True,1407,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,semantic-kernel,simple
0.1.0,13,True,[],45,,"{""adapted"": 6, ""equivalent"": 5, ""exact"": 2, ""unmapped"": 1, ""unsupported"": 1}",7,True,1276,"[""single-agent"", ""sequential""]",15,True,minimal,1,8420b078f18f2c0ec409db184f0fbf7f243095ca6869995d3cd461409aaa0033,0,1,haystack,simple
0.3.0,14,True,[],46,,"{""adapted"": 7, ""equivalent"": 3, ""exact"": 4}",2,True,2601,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,crewai,simple
0.3.0,14,True,[],48,,"{""adapted"": 10, ""exact"": 4}",6,True,1931,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,adk,simple
0.1.0,14,True,[],48,,"{""adapted"": 4, ""equivalent"": 4, ""exact"": 6}",4,True,2210,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,langgraph,simple
0.1.0,14,True,[],49,,"{""adapted"": 6, ""equivalent"": 4, ""exact"": 4}",6,True,1469,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,openai-agents,simple
0.1.0,13,True,[],46,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,3593,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,microsoft-agent-framework,simple
0.1.0,13,True,[],45,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,3039,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,strands,simple
0.1.0,13,True,[],47,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,1381,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,pydantic-ai,simple
0.1.0,13,True,[],53,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,2305,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,autogen,simple
0.1.0,13,True,[],55,,"{""adapted"": 4, ""dropped"": 1, ""equivalent"": 5, ""exact"": 4}",4,True,2267,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,semantic-kernel,simple
0.1.0,13,True,[],49,,"{""adapted"": 5, ""equivalent"": 5, ""exact"": 3, ""unsupported"": 1}",6,True,1963,"[""two-agent"", ""sequential""]",14,True,pair-review,2,e973a9ae33d1b9f63e3868587cffc10ee8d82b843be62b4c8fc3917ec889ba49,0,2,haystack,simple
