accepted,duration_ms,errors,scenario
True,0.683,[],minimal
True,0.717,[],pair-review
True,1.144,[],sequential
True,1.307,[],triage-four
True,1.611,[],editorial-five
True,1.867,[],delivery-six
True,1.116,[],parallel
True,0.935,[],parallel-aggregator
True,1.067,[],loop
True,1.331,[],mixed
True,2.307,[],two-stage-assessment
True,4.131,[],loop-parallel-review
True,3.731,[],incident-response-10
True,4.545,[],compliance-audit-12
True,4.354,[],product-launch-14
True,6.438,[],scientific-review-16
True,6.178,[],software-delivery-18
True,6.919,[],enterprise-analysis-20
