duration_ms,error,operation,output_bytes,peak_rss_bytes,repetition,size,success,target
0.667,,validate,,37404672,1,1,True,
46,,convert,1374,83542016,1,1,True,crewai
50,,convert,1383,83722240,1,1,True,adk
49,,convert,1430,82640896,1,1,True,langgraph
52,,convert,810,83001344,1,1,True,openai-agents
47,,convert,2964,83361792,1,1,True,microsoft-agent-framework
45,,convert,2318,79577088,1,1,True,strands
48,,convert,796,83361792,1,1,True,pydantic-ai
43,,convert,1418,83181568,1,1,True,autogen
47,,convert,1348,83361792,1,1,True,semantic-kernel
43,,convert,1213,83181568,1,1,True,haystack
0.764,,validate,,37765120,2,1,True,
47,,convert,1374,83181568,2,1,True,crewai
51,,convert,1383,83361792,2,1,True,adk
47,,convert,1430,81137664,2,1,True,langgraph
40,,convert,810,82640896,2,1,True,openai-agents
47,,convert,2964,83542016,2,1,True,microsoft-agent-framework
47,,convert,2318,80658432,2,1,True,strands
39,,convert,796,82640896,2,1,True,pydantic-ai
48,,convert,1418,83361792,2,1,True,autogen
53,,convert,1348,83001344,2,1,True,semantic-kernel
40,,convert,1213,83181568,2,1,True,haystack
0.745,,validate,,37765120,3,1,True,
54,,convert,1374,83722240,3,1,True,crewai
41,,convert,1383,83533824,3,1,True,adk
48,,convert,1430,83722240,3,1,True,langgraph
46,,convert,810,83542016,3,1,True,openai-agents
45,,convert,2964,83181568,3,1,True,microsoft-agent-framework
49,,convert,2318,83542016,3,1,True,strands
44,,convert,796,80658432,3,1,True,pydantic-ai
46,,convert,1418,82280448,3,1,True,autogen
48,,convert,1348,83177472,3,1,True,semantic-kernel
45,,convert,1213,84262912,3,1,True,haystack
0.732,,validate,,37765120,4,1,True,
40,,convert,1374,82100224,4,1,True,crewai
42,,convert,1383,84443136,4,1,True,adk
40,,convert,1430,83181568,4,1,True,langgraph
50,,convert,810,81559552,4,1,True,openai-agents
46,,convert,2964,82821120,4,1,True,microsoft-agent-framework
50,,convert,2318,83542016,4,1,True,strands
