duration_ms,event_count,implementation,passed,repetition,scenario,target,violations
7.402,8,native-baseline,True,1,sequential,,[]
2738.936,8,generated,True,1,sequential,crewai,[]
1791.78,8,generated,True,1,sequential,adk,[]
551.429,8,generated,True,1,sequential,langgraph,[]
747.229,8,generated,True,1,sequential,openai-agents,[]
233.582,8,generated,True,1,sequential,microsoft-agent-framework,[]
273.432,8,generated,True,1,sequential,strands,[]
292.512,8,generated,True,1,sequential,pydantic-ai,[]
624.843,8,generated,True,1,sequential,autogen,[]
1829.846,8,generated,True,1,sequential,semantic-kernel,[]
205.049,8,generated,True,1,sequential,haystack,[]
7.142,8,native-baseline,True,2,sequential,,[]
110.562,8,generated,True,2,sequential,crewai,[]
26.653,8,generated,True,2,sequential,adk,[]
24.68,8,generated,True,2,sequential,langgraph,[]
13.101,8,generated,True,2,sequential,openai-agents,[]
166.125,8,generated,True,2,sequential,microsoft-agent-framework,[]
17.046,8,generated,True,2,sequential,strands,[]
22.398,8,generated,True,2,sequential,pydantic-ai,[]
9.319,8,generated,True,2,sequential,autogen,[]
12.305,8,generated,True,2,sequential,semantic-kernel,[]
16.594,8,generated,True,2,sequential,haystack,[]
6.998,8,native-baseline,True,3,sequential,,[]
112.488,8,generated,True,3,sequential,crewai,[]
25.492,8,generated,True,3,sequential,adk,[]
22.604,8,generated,True,3,sequential,langgraph,[]
14.195,8,generated,True,3,sequential,openai-agents,[]
165.318,8,generated,True,3,sequential,microsoft-agent-framework,[]
14.682,8,generated,True,3,sequential,strands,[]
21.788,8,generated,True,3,sequential,pydantic-ai,[]
8.673,8,generated,True,3,sequential,autogen,[]
10.87,8,generated,True,3,sequential,semantic-kernel,[]
15.273,8,generated,True,3,sequential,haystack,[]
5.117,8,native-baseline,True,1,parallel,,[]
584.863,8,generated,True,1,parallel,crewai,[]
21.662,8,generated,True,1,parallel,adk,[]
16.151,8,generated,True,1,parallel,langgraph,[]
15.079,8,generated,True,1,parallel,openai-agents,[]
113.453,8,generated,True,1,parallel,microsoft-agent-framework,[]
12.778,8,generated,True,1,parallel,strands,[]
18.947,8,generated,True,1,parallel,pydantic-ai,[]
6.819,8,generated,True,1,parallel,autogen,[]
10.151,8,generated,True,1,parallel,semantic-kernel,[]
13.606,8,generated,True,1,parallel,haystack,[]
4.763,8,native-baseline,True,2,parallel,,[]
587.282,8,generated,True,2,parallel,crewai,[]
24.936,8,generated,True,2,parallel,adk,[]
20.814,8,generated,True,2,parallel,langgraph,[]
11.989,8,generated,True,2,parallel,openai-agents,[]
112.632,8,generated,True,2,parallel,microsoft-agent-framework,[]
13.882,8,generated,True,2,parallel,strands,[]
21.972,8,generated,True,2,parallel,pydantic-ai,[]
7.883,8,generated,True,2,parallel,autogen,[]
9.473,8,generated,True,2,parallel,semantic-kernel,[]
12.797,8,generated,True,2,parallel,haystack,[]
4.657,8,native-baseline,True,3,parallel,,[]
594.096,8,generated,True,3,parallel,crewai,[]
22.081,8,generated,True,3,parallel,adk,[]
16.853,8,generated,True,3,parallel,langgraph,[]
18.213,8,generated,True,3,parallel,openai-agents,[]
111.366,8,generated,True,3,parallel,microsoft-agent-framework,[]
12.875,8,generated,True,3,parallel,strands,[]
18.168,8,generated,True,3,parallel,pydantic-ai,[]
9.612,8,generated,True,3,parallel,autogen,[]
10.853,8,generated,True,3,parallel,semantic-kernel,[]
13.185,8,generated,True,3,parallel,haystack,[]
15.336,16,native-baseline,True,1,loop,,[]
187.428,16,generated,True,1,loop,crewai,[]
56.833,16,generated,True,1,loop,adk,[]
30.309,16,generated,True,1,loop,langgraph,[]
27.409,16,generated,True,1,loop,openai-agents,[]
123.973,16,generated,True,1,loop,microsoft-agent-framework,[]
31.14,16,generated,True,1,loop,strands,[]
47.652,16,generated,True,1,loop,pydantic-ai,[]
29.753,16,generated,True,1,loop,autogen,[]
21.432,16,generated,True,1,loop,semantic-kernel,[]
24.582,16,generated,True,1,loop,haystack,[]
14.997,16,native-baseline,True,2,loop,,[]
191.487,16,generated,True,2,loop,crewai,[]
58.359,16,generated,True,2,loop,adk,[]
29.782,16,generated,True,2,loop,langgraph,[]
33.256,16,generated,True,2,loop,openai-agents,[]
127.934,16,generated,True,2,loop,microsoft-agent-framework,[]
26.017,16,generated,True,2,loop,strands,[]
47.596,16,generated,True,2,loop,pydantic-ai,[]
31.606,16,generated,True,2,loop,autogen,[]
21.362,16,generated,True,2,loop,semantic-kernel,[]
27.193,16,generated,True,2,loop,haystack,[]
15.016,16,native-baseline,True,3,loop,,[]
184.824,16,generated,True,3,loop,crewai,[]
56.186,16,generated,True,3,loop,adk,[]
28.348,16,generated,True,3,loop,langgraph,[]
26.255,16,generated,True,3,loop,openai-agents,[]
124.545,16,generated,True,3,loop,microsoft-agent-framework,[]
40.212,16,generated,True,3,loop,strands,[]
48.857,16,generated,True,3,loop,pydantic-ai,[]
30.781,16,generated,True,3,loop,autogen,[]
21.856,16,generated,True,3,loop,semantic-kernel,[]
26.562,16,generated,True,3,loop,haystack,[]
7.227,10,native-baseline,True,1,mixed,,[]
620.233,10,generated,True,1,mixed,crewai,[]
34.164,10,generated,True,1,mixed,adk,[]
20.484,10,generated,True,1,mixed,langgraph,[]
14.363,10,generated,True,1,mixed,openai-agents,[]
166.242,10,generated,True,1,mixed,microsoft-agent-framework,[]
17.226,10,generated,True,1,mixed,strands,[]
26.158,10,generated,True,1,mixed,pydantic-ai,[]
10.595,10,generated,True,1,mixed,autogen,[]
12.333,10,generated,True,1,mixed,semantic-kernel,[]
17.528,10,generated,True,1,mixed,haystack,[]
6.996,10,native-baseline,True,2,mixed,,[]
639.267,10,generated,True,2,mixed,crewai,[]
33.313,10,generated,True,2,mixed,adk,[]
20.524,10,generated,True,2,mixed,langgraph,[]
13.413,10,generated,True,2,mixed,openai-agents,[]
165.62,10,generated,True,2,mixed,microsoft-agent-framework,[]
17.863,10,generated,True,2,mixed,strands,[]
30.611,10,generated,True,2,mixed,pydantic-ai,[]
9.945,10,generated,True,2,mixed,autogen,[]
14.253,10,generated,True,2,mixed,semantic-kernel,[]
18.061,10,generated,True,2,mixed,haystack,[]
7.026,10,native-baseline,True,3,mixed,,[]
637.755,10,generated,True,3,mixed,crewai,[]
40.697,10,generated,True,3,mixed,adk,[]
20.251,10,generated,True,3,mixed,langgraph,[]
13.679,10,generated,True,3,mixed,openai-agents,[]
165.95,10,generated,True,3,mixed,microsoft-agent-framework,[]
16.435,10,generated,True,3,mixed,strands,[]
25.459,10,generated,True,3,mixed,pydantic-ai,[]
9.605,10,generated,True,3,mixed,autogen,[]
11.841,10,generated,True,3,mixed,semantic-kernel,[]
17.4,10,generated,True,3,mixed,haystack,[]
